Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Infra-specific name]	Term Source REF	Term Accession Number	Characteristics[Line]	Term Source REF	Term Accession Number	Protocol REF	Characteristics[Rwness]	Term Source REF	Term Accession Number	Characteristics[Shape]	Term Source REF	Term Accession Number
source116	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 156			sample collection	6			r		
source117	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 157			sample collection	6			r		
source118	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 158			sample collection	6			r		
source119	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 16			sample collection	2			w		
source120	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 160			sample collection	6			w		
source121	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 161			sample collection	6			w		
source122	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 162			sample collection	6			r		
source123	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 163			sample collection	6			r		
source124	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 164			sample collection	6			r		
source125	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 165			sample collection	2			w		
source126	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 166			sample collection	2			w		
source127	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 167			sample collection	2			w		
source128	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 168			sample collection	2			w		
source129	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 169			sample collection	2			r		
source130	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 17			sample collection	2			w		
source131	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 170			sample collection	2			w		
source132	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 171			sample collection	6			r		
source133	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 172			sample collection	2			r		
source134	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 173			sample collection	6			r		
source135	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 174			sample collection	2			w		
source136	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 176			sample collection	6			r		
source137	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 177			sample collection	6			r		
source138	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 178			sample collection	2			w		
source139	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 179			sample collection	6			r		
source140	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 18			sample collection	2			w		
source141	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 180			sample collection	2			r		
source142	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 181			sample collection	2			w		
source143	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 182			sample collection	2			w		
source144	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 183			sample collection	2			r		
source145	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 184			sample collection	2			w		
source146	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 185			sample collection	2			w		
source147	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 186			sample collection	6			r		
source148	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 187			sample collection	6			r		
source149	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 188			sample collection	6			w		
source150	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 189			sample collection	6			r		
source151	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 19			sample collection	6			w		
source152	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 190			sample collection	6			w		
source153	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 191			sample collection	6			r		
source154	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 193			sample collection	6			r		
source155	Hordeum vulgare subsp. vulgare	NCBITaxon	xon_112509	MPS	EURISCO		MPS 194			sample collection	6			w		
